ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
54,54,45,089,NASSAU,Nassau,FL,4271,61,99,428,481,529,613,767,688,414,187,4,0 to 103,53,2324,1801,146,4128,143,0,183,3383,28,597,97,919,3332,0,20,4110,847,29,41,2,444,432,0,876,14,25,188,139,147,144,127,86,31,18,0,0 to 95,41,537,87,45,207,39,613,224,119,1,49,0,0,8,919,449,470,876,43,0,11797,98,12832,11895,919,8,1038,1032,3.75942130773243,0.154419685909309
55,55,22,043,GLADES,Glades,FL,562,9,17,59,120,138,83,63,37,29,6,1,0 to 90,39,201,360,1,562,0,0,56,339,3,294,0,384,178,0,0,562,382,2,0,0,99,285,0,384,6,5,41,96,113,64,43,10,4,2,0,0 to 89,38,271,59,13,41,151,139,94,38,0,25,0,0,3,384,285,99,384,0,0,670,0,1055,670,384,3,206,147,2.27684336624256,0.231957009552348
56,56,8,015,CHARLOTTE,Charlotte,FL,6620,73,71,400,598,655,926,1259,1223,824,583,8,0 to 119,59,3809,2729,82,6598,22,0,436,5419,62,1183,31,1660,4954,1,5,6592,1450,204,5,1,863,763,28,1654,17,27,180,191,165,227,297,245,167,143,1,0 to 101,55,1148,89,77,340,115,1144,395,190,1,213,1,0,82,1660,764,867,1654,6,0,19209,16,20897,19225,1660,82,233,214,3.83218059315228,0.165856243943894
57,57,58,115,SARASOTA,Sarasota,FL,17585,206,335,1416,1984,1868,2282,3006,3171,2201,1066,50,0 to 119,57,9720,7629,236,17313,272,0,731,15712,190,2255,112,5006,12549,1,29,17287,4881,73,46,6,2575,2269,110,4954,57,158,799,896,725,706,630,476,332,218,9,0 to 104,42,1990,280,352,2332,411,1720,2823,347,18,316,12,2,113,5006,2299,2597,4954,52,0,58478,215,63738,58693,5006,113,964,858,2.51442395330883,0.137455100826111
58,58,14,027,DESOTO,Desoto,FL,3336,92,193,333,502,511,569,571,322,167,72,4,0 to 102,45,1376,1838,122,3325,11,0,145,2198,48,1153,19,1164,2165,0,7,3318,1033,130,1,0,485,674,4,1163,38,108,157,232,220,176,137,69,17,10,0,0 to 97,36,733,118,65,247,618,273,272,172,0,92,0,0,14,1164,674,486,1163,1,0,7533,10,8724,7543,1164,14,1236,1101,1.62412905104683,0.150723124168937
59,59,18,035,FLAGLER,Flagler,FL,4603,63,68,299,482,549,655,866,861,523,230,7,0 to 119,57,2661,1888,54,4564,39,0,246,3824,37,602,59,779,3820,0,4,4560,664,106,9,0,410,355,5,770,13,26,105,117,92,117,125,114,52,17,1,0 to 94,48,447,110,126,87,105,556,109,115,4,67,2,1,8,779,360,414,770,9,0,11820,30,12647,11850,779,8,923,888,2.09459077711604,0.120416345978497
60,60,26,051,HENDRY,Hendry,FL,3407,122,181,490,617,550,488,431,246,162,113,7,0 to 104,40,1676,1718,13,3405,2,0,348,1763,32,1410,16,1495,1910,0,2,3403,1450,45,0,0,653,839,3,1495,46,86,243,312,269,231,149,82,49,28,0,0 to 101,37,1190,165,50,90,1010,404,81,239,0,135,0,0,32,1495,839,653,1495,0,0,5926,2,7439,5928,1495,32,2056,1629,2.751957998189,0.279063453322294
61,61,31,061,INDIAN RIVER,Indian River,FL,7570,106,196,697,822,796,960,1147,1232,899,700,15,0 to 119,56,4538,2975,57,7499,71,0,316,5772,77,1757,90,1941,5582,1,46,7454,1911,17,11,2,1033,862,33,1928,34,104,331,323,273,271,203,157,131,114,0,0 to 99,40,776,174,191,787,322,671,935,226,6,125,3,0,33,1941,870,1038,1928,13,0,21013,56,23019,21069,1941,33,2003,1519,2.23772404689823,0.120741478735337
62,62,6,011,BROWARD,Broward,FL,138761,3106,4750,13030,22223,22031,23450,23284,15000,7760,3909,218,0 to 119,46,74626,62567,1568,137031,1730,0,6226,109572,2336,28308,1184,48187,90412,23,139,136872,45449,2258,445,35,24620,22838,249,47707,1014,2366,7037,9601,8467,7847,6324,3145,1579,784,23,0 to 102,39,16659,12460,3855,14733,15539,17948,14220,5809,86,3008,66,25,580,48187,23141,24785,47707,480,0,307473,1234,357357,308707,48187,580,19818,19449,2.7919763283364,0.283663156516755
63,63,17,033,ESCAMBIA,Escambia,FL,23336,526,675,2584,3475,2854,3099,3964,3216,1841,1032,70,0 to 119,50,13667,9455,214,20016,3320,0,810,20808,183,2386,143,6854,16462,2,18,19996,6005,88,761,0,3272,2652,169,6093,84,244,1331,1364,974,840,856,557,390,214,0,0 to 105,37,2339,1544,281,1929,190,3699,2204,587,4,331,5,4,76,6854,2968,3717,6093,761,0,50275,2518,59680,52793,6854,76,1120,1040,4.36918308615684,0.166409867656292
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2343,58,119,350,321,299,290,338,218,194,145,11,0 to 119,45,1303,1019,21,2332,11,0,209,1534,2,646,16,802,1539,0,2,2330,741,58,3,0,390,406,3,799,29,72,148,134,140,100,105,33,29,12,0,0 to 94,36,500,84,99,116,353,314,132,96,0,68,2,0,2,802,407,392,799,3,0,4888,8,5708,4896,802,2,858,777,2.58761125674549,0.21054521223227
65,65,19,037,FRANKLIN,Franklin,FL,616,5,14,43,50,51,76,141,138,79,19,0,0 to 95,60,360,255,1,611,5,0,14,493,0,87,14,85,530,0,1,610,79,4,2,0,49,34,0,83,1,3,9,12,7,9,23,12,6,3,0,0 to 85,55,51,26,2,4,4,74,5,7,0,3,0,0,1,85,34,51,83,2,0,2175,3,2264,2178,85,1,123,122,4.43935170547995,0.135013808620425
66,66,1,001,ALACHUA,Alachua,FL,17775,247,301,2393,3406,2540,2470,2770,2015,965,600,68,0 to 119,44,10165,7469,141,17481,294,0,684,16310,61,1460,100,3050,14714,6,5,17470,2911,93,34,12,1598,1402,4,3004,38,98,891,716,366,344,291,190,77,36,3,0 to 103,30,1037,775,399,793,418,1703,883,240,10,127,11,1,18,3050,1428,1617,3004,46,0,58466,246,61782,58712,3050,18,210,188,2.62533239231304,0.233996913333188
67,67,55,109,ST. JOHNS,St. Johns,FL,12907,177,370,1412,1458,1882,2137,2203,1837,967,445,19,0 to 119,50,6978,5759,170,12859,48,0,630,10444,208,2140,248,2871,9995,10,31,12819,2550,292,25,4,1401,1414,27,2842,33,84,675,420,406,454,424,213,108,52,2,0 to 100,40,1811,195,155,681,197,1828,817,230,4,141,5,0,19,2871,1428,1416,2842,29,0,31755,17,34677,31772,2871,19,2206,2166,3.24633645681211,0.154879969128212
69,68,999,999,Unknown,Unknown,FL,1702,9,14,136,225,233,244,212,148,215,262,4,0 to 119,54,1082,595,25,233,1469,0,4,1652,0,25,16,462,1240,0,0,233,104,0,354,4,42,52,10,104,9,12,81,104,81,81,52,18,11,11,2,0 to 82,35,20,17,5,62,36,11,57,0,4,0,2,1,0,462,231,213,104,358,0,3044,1104,4640,4148,462,0,1387,1385,0,0
70,69,998,998,A State,State,FL,1258588,21104,33804,124348,191642,180941,195925,203482,158083,91911,44936,12412,-6 to 225,48,683036,563104,12448,1241364,17216,8,59049,1055936,0,195140,9056,414511,840856,371,2850,1238186,395637,13948,4736,190,209075,197246,3264,409585,6852,15343,64704,82286,68211,65528,52393,30556,17634,10262,742,0 to 118,40,153547,60254,38762,157022,102413,131727,175445,40383,534,23730,356,117,5777,414511,199721,211403,409577,4926,8,2909708,12158,3340929,2921866,414511,5777,123131,110172,0,0
