OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender
69,St Clair,ST CLAIR,9652,1817213587.4408,184944.663164138,0,,,,,,,,,,,,,,,be1fcb89-d93c-4993-9cc5-609ccec2b124,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
70,Phelps,PHELPS,39825,1744735939.29565,210174.544916673,0,,,,,,,,,,,,,,,49e4b4e4-c771-48a6-9d62-7e57d780498a,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
71,Ste Genevieve,STE GENEVIEVE,17842,1314257865.56763,175964.971877657,6,,1,5,,,,,,,,,,,,2a5d39ea-0fb2-4041-bbbc-f8f06a0a7220,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:56:51.454Z,mophep,,,,,,,,,,
72,Hickory,HICKORY,8940,1065749032.03088,145331.885361096,0,,,,,,,,,,,,,,,d1fc782a-2676-4a0b-aae2-3623687231f5,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
73,Vernon,VERNON,20454,2166177477.45935,206910.650605937,0,,,,,,,,,,,,,,,e1c52a85-5acc-4ec1-a645-15914c069bc9,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
74,St Francois,ST FRANCOIS,55641,1176598010.31128,197768.83173244,12,,1,11,,,,,,,,,,,,031d345e-1cda-4ab9-bfc9-51b4f8b8868a,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:55:59.149Z,mophep,,,,,,,,,,
75,Pulaski,PULASKI,41165,1428844100.64917,154094.633550644,10,,1,9,,,,,,,,,,,,475b813e-6a9b-45d9-9b76-05138be09cc3,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:54:43.316Z,mophep,,,,,,,,,,
76,Perry,PERRY,18132,1254989465.23169,189577.287610022,21,,11,10,,,,,,,,,,,,538d38e0-b8d0-4b79-b148-034eb7acfa67,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:53:52.416Z,mophep,,,,,,,,,,
77,Cedar,CEDAR,13733,1290413994.52417,152229.611940965,4,,0,4,,,,,,,,,,,,ad405200-ee1f-4ef4-bf26-3bad8764092f,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:46:55.706Z,mophep,,,,,,,,,,
78,Dallas,DALLAS,15661,1406475578.55298,168394.443356016,0,,,,,,,,,,,,,,,6d7e611c-5903-4ee6-ac32-793b7236a71c,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
79,Laclede,LACLEDE,32513,1987120166.11853,205549.772496555,0,,,,,,,,,,,,,,,a669ae31-67a6-4e9a-8243-952a3aecd849,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
80,Polk,POLK,26992,1662482833.50122,170239.749176206,0,,,,,,,,,,,,,,,0941adbc-bd5c-4e7d-b06e-55432da0b9ae,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
81,Dent,DENT,14927,1953530644.56396,215694.106436872,0,,,,,,,,,,,,,,,a6fc251a-2719-4c6b-9a24-8fdca7c87879,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
82,Iron,IRON,10697,1430257400.20972,216366.970070118,0,,,,,,,,,,,,,,,7dfffdbf-6ce6-4a5f-8b62-2b30b35b6dc1,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
83,Madison,MADISON,11800,1290523546.72729,144351.851788262,0,,,,,,,,,,,,,,,b4fbb545-7a71-4256-b864-7c0f06b16d35,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
84,Barton,BARTON,12541,1544860517.61267,159956.857822053,0,,,,,,,,,,,,,,,f110957e-304e-49a0-9f0a-1436499f285c,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
85,Bollinger,BOLLINGER,12029,1610177731.87622,188320.913691066,1,,,1,,,,,,,,,,,,5c5399ed-4e9c-4d11-9aa7-952882183f11,2020-03-24T20:48:38.049Z,mophep,2020-03-26T19:17:39.709Z,mophep,,,,,,,,,,
86,Cape Girardeau,CAPE GIRARDEAU,68693,1519863089.88257,200276.52952856,15,,0,15,,,,,,,,,,,,68b3c067-851c-4534-98b3-83273e180e04,2020-03-24T20:48:38.049Z,mophep,2020-03-31T18:40:00.690Z,mophep,,,,,,,,,,
87,Reynolds,REYNOLDS,6689,2108756704.43384,227933.444270898,2,,1,1,,,,,,,,,,,,01b210d2-f111-4858-bb14-8180ec0b1c37,2020-03-24T20:48:38.049Z,mophep,2020-03-30T19:12:11.741Z,mophep,,,,,,,,,,
88,Texas,TEXAS,23003,3052131034.76758,228460.028217731,0,,,0,,,,,,,,,,,,a6bfd490-d2a9-4bb0-a75f-610a1d83e1d0,2020-03-24T20:48:38.049Z,mophep,2020-03-31T18:50:45.083Z,mophep,,,,,,,,,,
89,Dade,DADE,7923,1310383515.95776,145787.896442858,0,,,,,,,,,,,,,,,f6420339-df3e-4b8f-a557-6301481f3ff1,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
90,Wright,WRIGHT,17955,1768598099.69568,170877.837957737,6,,1,5,,,,,,,,,,,,fb671020-3beb-46ea-a818-5b4aeab71329,2020-03-24T20:48:38.049Z,mophep,2020-04-02T18:54:42.908Z,mophep,,,,,,,,,,
91,Webster,WEBSTER,31045,1536456190.32471,162360.638324872,2,,,2,,,,,,,,,,,,9142d538-3802-41d3-ad1a-42056cddf40a,2020-03-24T20:48:38.049Z,mophep,2020-03-31T18:51:13.565Z,mophep,,,,,,,,,,
92,Shannon,SHANNON,8324,2599064106.68262,234085.452439273,0,,,,,,,,,,,,,,,1a288ecb-1774-44ed-bda5-1f095444e2eb,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
93,Greene,GREENE,240391,1754251875.79907,172747.570039509,60,6,20,40,,,,,,,,,,0,,c8ac0fb7-9404-4245-80d2-6fb0630ebdeb,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:49:41.015Z,mophep,,,,,,,,,,
94,Jasper,JASPER,104686,1595623510.88306,215361.498011017,8,,1,7,,,,,,,,,,,,cc8e946b-3b74-4100-a892-96fbef4fde8f,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:50:15.966Z,mophep,,,,,,,,,,
95,Wayne,WAYNE,13259,2005511469.98853,206593.465163282,0,,,,,,,,,,,,,,,daa12099-41df-4a29-a130-767d5436f59a,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
96,Scott,SCOTT,40422,1104171916.76343,172788.711054357,7,,2,5,,,,,,,,,,,,3aadfebe-8ee6-4725-a095-8abd3cf35b76,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:55:33.073Z,mophep,,,,,,,,,,
97,Lawrence,LAWRENCE,35204,1587779091.27661,159492.646639474,0,,,,,,,,,,,,,,,ff9c63e3-9636-4a25-92af-370c98f99ff3,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
98,Stoddard,STODDARD,29705,2149954094.00366,251505.900647686,7,,2,5,,,,,,,,,,,,ef832d29-ae9a-429c-b771-04d37cf35de6,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:57:01.059Z,mophep,,,,,,,,,,
99,Mississippi,MISSISSIPPI,13427,1112539538.75171,193949.810945925,0,,,,,,,,,,,,,,,d7d3de5b-cea0-4203-a29a-c7d13cb8044a,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
100,Carter,CARTER,5941,1318387592.29102,162620.175441312,3,,1,2,,,,,,,,,,,,f8c52a0c-9913-4eff-b4b8-304e3575ea60,2020-03-24T20:48:38.049Z,mophep,2020-04-01T18:45:43.127Z,mophep,,,,,,,,,,
101,Christian,CHRISTIAN,54285,1458941049.46204,187200.155542567,13,,4,9,,,,,,,,,,,,f20f5740-3ff6-4f1e-9528-93ac80a05955,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:47:12.397Z,mophep,,,,,,,,,,
102,Douglas,DOUGLAS,13084,2108928172.95129,203119.13311519,0,,,,,,,,,,,,,,,66e52c8c-6387-4191-a429-a5f6cfff326c,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
103,Newton,NEWTON,52636,1604801038.03711,204856.266842885,6,,3,3,,,,,,,,,,,,63d9afda-7bc3-4abd-b4ac-c0dd66f251d9,2020-03-24T20:48:38.049Z,mophep,2020-04-02T18:51:45.389Z,mophep,,,,,,,,,,
104,Howell,HOWELL,37238,2402683146.8772,204857.880407299,1,,,1,,,,,,,,,,,,302046d5-2b3d-46ee-81a3-c1ba0110781b,2020-03-24T20:48:38.049Z,mophep,2020-04-02T18:49:50.918Z,mophep,,,,,,,,,,
