ï»¿OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
90,Wright,WRIGHT,18378,1768598099.69568,170877.837957737,14,0,1,6,,,,,,,,,,,,fb671020-3beb-46ea-a818-5b4aeab71329,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:31.269+00,mophep,,,,,,,,,,,
91,Webster,WEBSTER,39109,1536456190.32471,162360.638324872,24,1,,3,,,,,,,,,,,,9142d538-3802-41d3-ad1a-42056cddf40a,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:31.409+00,mophep,,,,,,,,,,,
92,Shannon,SHANNON,8189,2599064106.68262,234085.452439273,6,0,,,,,,,,,,,,,,1a288ecb-1774-44ed-bda5-1f095444e2eb,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:31.566+00,mophep,,,,,,,,,,,
93,Greene,GREENE,291923,1754251875.79907,172747.570039509,246,8,20,47,,,,,,,,,,0,,c8ac0fb7-9404-4245-80d2-6fb0630ebdeb,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:31.722+00,mophep,,,,,,,,,,,
94,Jasper,JASPER,77093,1595623510.88306,215361.498011017,311,1,2,7,,,,,,,,,,,,cc8e946b-3b74-4100-a892-96fbef4fde8f,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:31.878+00,mophep,,,,,,,,,,,
95,Wayne,WAYNE,13122,2005511469.98853,206593.465163282,3,0,,,,,,,,,,,,,,daa12099-41df-4a29-a130-767d5436f59a,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:32.034+00,mophep,,,,,,,,,,,
96,Scott,SCOTT,38458,1104171916.76343,172788.711054357,159,11,2,8,,,,,,,,,,,,3aadfebe-8ee6-4725-a095-8abd3cf35b76,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:32.175+00,mophep,,,,,,,,,,,
97,Lawrence,LAWRENCE,38359,1587779091.27661,159492.646639474,20,0,,,,,,,,,,,,,,ff9c63e3-9636-4a25-92af-370c98f99ff3,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:32.331+00,mophep,,,,,,,,,,,
98,Stoddard,STODDARD,29206,2149954094.00366,251505.900647686,132,8,2,6,,,,,,,,,,,,ef832d29-ae9a-429c-b771-04d37cf35de6,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:32.534+00,mophep,,,,,,,,,,,
99,Mississippi,MISSISSIPPI,13336,1112539538.75171,193949.810945925,82,0,,,,,,,,,,,,,,d7d3de5b-cea0-4203-a29a-c7d13cb8044a,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:32.675+00,mophep,,,,,,,,,,,
100,Carter,CARTER,6054,1318387592.29102,162620.175441312,6,1,1,2,,,,,,,,,,,,f8c52a0c-9913-4eff-b4b8-304e3575ea60,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:32.831+00,mophep,,,,,,,,,,,
