ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,19762,494,478,1771,3393,3287,3228,3165,2248,1116,542,40,0 to 119,46,11515,8150,97,19547,215,0,422,18799,458,666,272,1105,18604,33,20,19495,986,70,46,3,536,520,0,1056,10,26,126,182,191,196,176,110,59,29,0,0 to 100,45,518,182,219,137,303,583,170,288,10,174,7,2,23,1105,542,563,1056,49,0,18439,165,19762,18604,1105,23,660,313,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,3629,90,85,227,440,505,589,637,493,380,181,2,0 to 100,53,2196,1381,52,3605,24,0,297,3090,177,524,34,567,3060,2,0,3603,509,55,3,0,331,232,1,564,2,11,26,50,73,102,77,89,99,38,0,2 to 98,57,375,94,45,50,81,390,93,90,2,142,2,1,49,567,234,332,564,3,0,3039,21,3629,3060,567,49,182,91,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,3702,58,82,295,481,616,687,612,472,279,111,9,0 to 99,49,2136,1447,119,3696,6,0,69,3466,130,293,41,272,3429,1,0,3695,240,30,2,0,162,108,0,270,0,1,16,22,35,43,47,52,36,20,0,6 to 95,59,152,51,16,51,21,196,53,80,0,63,0,0,15,272,109,163,270,2,0,3425,4,3702,3429,272,15,161,133,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,138,3,1,15,23,14,25,22,25,5,5,0,0 to 94,50,76,60,2,134,4,0,8,122,2,13,3,16,122,0,0,134,13,1,2,0,10,4,0,14,0,0,1,1,2,5,2,5,0,0,0,23 to 74,50,9,5,0,0,2,12,0,6,2,3,2,0,0,16,5,11,14,2,0,120,2,138,122,16,0,13,13,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,4342,64,63,293,511,566,677,798,737,429,203,1,0 to 119,54,2646,1660,36,4329,13,0,559,3576,177,531,91,165,4012,2,163,4165,142,20,3,0,91,71,0,162,1,1,11,23,28,33,37,19,8,4,0,2 to 96,51,122,24,12,4,26,132,4,34,2,26,0,0,4,165,72,93,162,3,0,4003,9,4342,4012,165,4,224,124,51,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,8473,82,143,467,896,954,1346,1785,1633,797,355,15,0 to 117,57,4562,3471,440,8440,33,0,127,7985,230,412,124,448,8021,3,1,8436,337,101,9,1,185,253,0,438,1,4,24,61,60,84,75,78,29,32,0,1 to 102,53,256,73,72,37,50,306,82,104,5,77,4,0,20,448,257,191,438,10,0,7998,23,8473,8021,448,20,439,157,53,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,211,6,5,20,21,37,31,34,36,15,5,1,0 to 90,50,116,93,2,211,0,0,8,195,6,16,0,6,204,0,1,210,5,1,0,0,5,1,0,6,0,0,1,0,2,1,0,1,0,1,0,24 to 86,46,1,4,0,1,0,4,2,5,0,2,0,0,0,6,1,5,6,0,0,204,0,211,204,6,0,24,13,46,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,5396,125,126,345,642,661,848,926,857,652,207,7,0 to 101,54,2974,2302,120,5328,68,0,86,5044,222,243,80,227,5155,0,14,5314,199,16,12,0,110,105,0,215,1,7,13,25,33,41,35,39,31,2,0,1 to 86,52,105,28,70,12,64,133,18,95,10,56,4,1,11,227,112,115,215,12,0,5099,56,5396,5155,227,11,292,94,52,3.13721776582964,0.276793966603692
28,28,38,075,LEVY,Levy,FL,626,13,15,59,85,70,89,110,85,60,39,1,0 to 118,53,397,221,8,626,0,0,13,535,16,90,2,18,608,0,0,626,16,2,0,0,14,4,0,18,0,0,2,1,4,2,4,1,1,3,0,16 to 99,53,12,3,1,2,2,14,2,5,0,2,0,0,0,18,4,14,18,0,0,608,0,626,608,18,0,36,14,53,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,1821,16,15,50,83,76,153,252,718,409,47,2,0 to 97,69,931,809,81,1813,8,0,94,1554,164,184,52,176,1620,0,25,1788,132,43,1,0,60,115,0,175,0,0,4,4,15,26,32,57,32,6,0,17 to 97,66,153,14,2,6,9,156,10,51,0,40,0,0,13,176,115,61,175,1,0,1613,7,1821,1620,176,13,48,37,66,2.17022236361353,0.138739000630679
