OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,191,27,15,16,18,28,24,17,26,15,5,0,0 to 89,40,100,88,3,188,3,0,14,146,29,70,4,23,163,0,5,183,6,0,16,1,11,11,0,22,2,0,3,2,2,3,5,3,2,1,0,0 to 89,52,6,12,1,3,1,18,3,7,0,3,0,0,1,23,11,12,22,1,0,161,2,191,163,23,1,54,17,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,40,2,2,5,10,6,4,6,4,1,0,0,0 to 76,36,23,15,2,40,0,0,1,38,1,2,0,2,38,0,0,40,0,0,2,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,38,0,40,38,2,0,9,4,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,99,2,2,14,14,12,11,20,14,7,3,0,0 to 93,49,55,39,5,97,2,0,8,84,7,12,3,3,95,0,1,97,3,0,0,0,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,32 to 62,56,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,3,3,0,0,94,1,99,95,3,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,867,9,12,61,115,139,184,168,103,57,19,0,0 to 99,50,467,347,53,865,2,0,37,806,24,62,29,57,809,1,0,864,14,0,42,1,23,33,0,56,0,0,3,10,12,14,8,7,2,1,0,21 to 93,47,41,7,3,5,12,37,7,19,1,8,1,0,2,57,34,23,56,1,0,808,1,867,809,57,2,30,25,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,604,25,26,44,86,91,79,120,87,31,11,4,0 to 118,48,322,248,34,597,7,0,115,437,50,101,17,40,554,0,10,590,11,0,28,1,21,18,0,39,1,0,5,7,3,7,12,4,1,0,0,1 to 76,48,32,4,1,2,4,32,3,1,0,5,0,0,0,40,19,21,39,1,0,551,3,604,554,40,0,7,5,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,293,8,6,34,46,34,58,41,24,26,16,0,0 to 99,48,183,93,17,289,4,0,15,262,16,50,3,17,276,0,0,289,14,0,3,0,10,7,0,17,0,0,1,1,0,0,3,4,5,3,0,24 to 97,72,15,1,1,0,0,17,0,4,0,7,0,0,3,17,7,10,17,0,0,272,4,293,276,17,3,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,264,5,5,18,30,26,47,49,51,25,8,0,0 to 100,55,149,95,20,263,1,0,0,260,3,6,1,6,253,0,5,258,3,0,3,0,1,5,0,6,0,0,0,1,2,2,0,1,0,0,0,27 to 73,44,5,0,0,1,0,5,1,2,0,0,0,0,0,6,5,1,6,0,0,252,1,264,253,6,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1402,21,13,78,147,179,222,291,236,152,61,2,0 to 99,56,795,577,30,1393,9,0,72,1252,69,114,55,155,1238,1,8,1385,7,0,140,8,63,83,1,147,0,0,10,13,18,23,37,21,27,6,0,19 to 92,58,99,6,13,29,22,98,27,56,2,38,1,0,4,155,89,65,147,8,0,1238,0,1402,1238,155,4,60,50,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,15619,388,377,1411,2824,2725,2630,2445,1654,789,342,34,0 to 119,45,9227,6315,77,15454,165,0,408,14775,429,553,263,973,14601,36,9,15410,62,2,869,40,472,459,0,931,10,22,111,164,173,175,158,92,47,21,0,0 to 100,45,465,146,194,126,272,503,156,256,8,148,4,2,19,973,478,495,931,42,0,14479,122,15619,14601,973,19,657,311,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,2641,56,57,164,330,368,452,470,363,264,116,1,0 to 100,52,1595,999,47,2623,18,0,171,2324,131,303,31,433,2204,2,2,2619,54,0,377,2,248,179,4,431,1,8,19,36,45,78,54,76,84,32,0,2 to 98,60,257,64,34,76,35,280,116,58,1,83,1,1,33,433,181,248,431,2,0,2188,16,2641,2204,433,33,183,93,1945653927.12581,371198.171414394
