OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,61,3,2,2,7,9,10,14,11,3,0,0,0,0,0,0,1,0,0,0,0,0,53,1 to 77,42,42 to 42,1,0,35,26,0,59,2,0,22,31,8,0,0,1,1,0,0,0,61,1,60,0,0,15,18,1,1,0,1,1,0,0,58,2,61,60,1,0,5,2,1469866107.27026,258929.917930346,0,0,1,0
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,88,4,1,5,13,23,14,11,11,4,2,0,0,0,0,1,0,0,1,0,0,0,43,1 to 86,42,25 to 60,2,0,47,37,4,88,0,0,7,78,3,0,2,0,1,1,0,0,87,2,85,0,1,9,6,0,2,1,1,2,0,0,85,0,88,85,2,0,4,3,646977045.561768,128178.538552252,0,0,0,0
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,214,1,0,15,26,19,23,34,28,41,25,2,0,0,0,0,3,0,1,1,5,5,62,0 to 100,81,35 to 100,15,0,131,73,10,214,0,0,43,171,0,2,11,2,10,2,3,0,200,15,185,0,14,11,41,23,15,3,12,15,0,0,185,0,214,185,15,0,27,16,776744615.959412,167178.838252791,3,0,2,0
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,141,2,3,12,29,24,30,20,12,5,3,1,0,0,0,2,1,3,0,1,0,0,44,0 to 93,45,26 to 65,6,0,77,62,2,140,1,0,11,128,2,3,0,4,2,0,5,0,141,7,134,0,0,6,0,7,7,2,5,6,1,0,134,0,141,134,7,0,28,15,1579533632.64177,279225.038340218,4,1,3,1
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,1810,32,33,109,252,270,257,362,282,142,70,1,1,2,7,15,12,18,23,10,12,5,53,0 to 103,52,1 to 94,99,0,1081,697,32,1803,7,0,118,1652,40,43,12,50,71,4,30,2,1808,105,1701,2,2,65,61,38,105,54,51,99,6,0,1701,1,1810,1702,105,2,200,164,2687643838.87906,793218.333609179,28,2,48,2
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,3216,75,68,264,462,469,521,514,472,271,99,1,1,4,11,28,31,34,39,38,17,3,49,0 to 98,53,3 to 88,205,0,1860,1281,75,3205,11,0,200,2928,88,82,29,95,112,26,68,6,3199,206,2991,2,17,168,50,103,206,99,107,205,1,0,2982,10,3216,2992,206,6,236,191,5206715917.89822,388118.956177661,68,0,95,0
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,1971,27,45,167,366,379,341,294,221,102,23,6,1,2,20,35,45,60,57,39,16,2,44,0 to 97,50,0 to 94,272,0,1132,824,15,1960,11,0,289,1549,133,111,46,120,157,42,78,4,1902,277,1624,1,69,206,67,212,277,147,130,272,5,0,1620,4,1971,1624,277,4,241,120,3899316052.50861,350452.549474464,75,3,118,2
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,326,11,1,19,53,46,46,46,52,37,13,2,1,0,3,9,3,4,6,8,9,1,53,0 to 95,58,0 to 85,43,0,186,117,23,322,4,0,19,294,13,12,8,24,22,7,15,4,324,44,278,2,2,16,75,22,44,27,17,43,1,0,275,3,326,278,44,4,56,26,2866885704.30579,296636.719911829,14,1,23,1
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,4527,63,55,283,634,668,780,759,706,431,146,2,1,3,22,57,69,68,78,96,65,17,52,0 to 100,57,2 to 100,452,0,2659,1778,90,4488,38,1,310,4131,86,157,221,98,203,182,91,14,4509,476,4031,2,18,139,54,289,476,233,238,451,24,1,4019,12,4527,4031,476,14,629,508,2112333669.17714,583283.842331616,84,7,91,7
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,2594,20,36,160,342,337,360,435,444,341,117,2,2,1,17,42,22,35,56,48,47,12,55,0 to 103,59,0 to 99,233,0,1485,1097,12,2474,120,0,295,2177,122,113,98,71,171,73,38,3,2572,282,2290,0,22,147,218,127,282,147,135,233,49,0,2219,71,2594,2290,282,3,424,351,5197102107.68439,580181.883282756,32,6,57,14
48,48,13,025,MIAMI-DADE,2000-05-16T00:00:00.000Z,55073375763.8941,1774363.00496543,13,Dade,FL,48,13,25,29039,325,428,1807,4915,5009,5413,4646,3636,1910,879,71,18,36,380,964,931,1093,887,656,340,143,48,0 to 115,48,0 to 103,5412,0,15007,13522,510,28899,139,1,1124,27497,418,481,4148,832,995,4079,387,50,28830,5461,23294,75,209,531,789,1002,5461,2870,2520,5411,49,1,23226,87,29039,23313,5461,50,2113,1686,5114451079.58835,540836.793924443,383,4,817,15
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,626,7,5,34,79,101,117,135,98,36,14,0,0,0,6,9,6,10,9,6,6,0,52,0 to 92,52,19 to 80,46,0,360,265,1,603,23,0,84,482,60,17,23,12,39,6,7,3,518,52,466,0,108,125,225,45,52,26,26,46,6,0,449,17,626,466,52,3,133,114,2629619857.16548,1399292.97354894,7,0,11,1
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,1124,65,62,121,191,188,182,149,108,49,9,0,2,0,10,8,10,11,14,11,4,0,41,0 to 98,50,0 to 84,70,0,687,434,3,1122,2,0,51,1037,36,33,23,14,57,1,12,2,1124,70,1053,1,0,48,8,35,70,42,28,70,0,0,1052,2,1124,1054,70,2,442,151,2596863920.94926,364280.718031263,12,0,14,0
