ï»¿OBJECTID,CORR_NOMB,SHAPE_Leng,CORR_FEAC,ID1,CORR_LEY,ORDEN_CORR,PROV_ID,DIST_ID,CORR_ID,CODIGO,CAMPO,ID2,TIPO,Cantidad,Hospitalizado,Aislamiento_domiciliario,Fallecido,UCI,Recuperado,ORIG_FID
126,SOLOY (CABECERA),70609.75046,1146355200000,82,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,01,120101,2018,127,R,,,,,,,126
127,CERRO BANCO,58090.13797,1146355200000,1576,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,04,120104,2018,128,R,,,,,,,127
128,JADEBERI,49344.16865,1259625600000,16,LEY 10 DEL 7 DE MARZO DE 1997,0,12,04,03,120403,2018,129,R,,,,,,,128
129,SALTO DUPI,26544.40377,1151625600000,10,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,08,120208,2018,130,R,,,,,,,129
130,HATO PILON (CABECERA),32938.26922,1151625600000,13,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,01,120201,2018,131,R,,,,,,,130
131,SUSAMA,32253.93001,1245196800000,12,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,04,05,120405,2018,132,R,,,,,,,131
132,CERRO PUERCO,37636.86058,1259539200000,22,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,03,05,120305,2018,133,R,,,,,,,132
133,MARACA,27846.51756,1264896000000,1,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,03,07,120307,2018,134,R,,,,,,,133
134,GUAYABITO,42975.95858,1228003200000,461,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,05,08,120508,2018,135,R,,,,,,,134
135,KRUA,75548.96528,1262217600000,7,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,03,06,120306,2018,136,R,,,,,,,135
136,GUIBALE,86224.43663,,25,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,05,09,120509,2018,137,R,,,,,,,136
137,LOMA YUCA (LJUICHO),88708.35662,1291075200000,18,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,09,03,120903,2017,138, ,,,,,,,137
138,MUNUNI,64717.53369,1264896000000,17,"LIMITE DE REFERENCIA, VERIFICAR",0,12,06,05,120605,2018,139,R,,,,,,,138
139,CERRO PELADO,62197.5407,1167868800000,21,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,05,04,120504,2017,140,R,,,,,,,139
140,NIBRA,87443.49979,1262304000000,10,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,03,08,120308,2018,141,R,,,,,,,140
141,EMPLANADA DE CHORCHA,124253.01569,1143763200000,214,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,06,120106,2018,142,R,,,,,,,141
142,CAMARON ARRIBA,48671.75526,1149033600000,24,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,03,120103,2018,143,R,,,,,,,142
143,LAJERO,33152.78294,1260835200000,6,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,04,04,120404,2018,144,R,,,,,,,143
144,RIO CONGO ARRIBA,97613.53207,1148947200000,20,LEY 58 DEL 29 DE JULIO DE 1998,0,05,01,15,050115,2016,145, ,,,,,,,144
145,SETEGANTI,67394.5175,1158710400000,12,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,01,10,050110,2017,146, ,,,,,,,145
146,PUCURO,47621.51351,1264896000000,14,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,02,05,050205,2017,147, ,,,,,,,146
147,PUERTO PIÃA,214293.51002,1262131200000,40,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,01,06,050106,2017,148, ,,,,,,,147
148,CHEPIGANA,106898.46044,1159574400000,57,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,01,03,050103,2017,149, ,1,0,1,0,0,0,148
149,LA PALMA (CABECERA),423873.50087,1162252800000,57,LEY 58 DEL 29 DE JULIO DE 1998,0,05,01,01,050101,2017,150, ,7,2,5,0,0,0,149
150,AGUA FRIA,129254.31128,1151625600000,1,LEY 58 DEL 29 DE JULIO DE 1998,0,05,01,13,050113,2016,151, ,,,,,,,150
151,CUCUNATI,150999.14643,1156982400000,0,LEY 58 DEL 29 DE JULIO DE 1998,0,05,01,14,050114,2016,152, ,,,,,,,151
152,JAQUE,208722.14234,1262217600000,126,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,01,05,050105,2017,153, ,,,,,,,152
153,TAIMATI,108695.17625,1262217600000,80,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,01,11,050111,2017,154, ,,,,,,,153
154,SAMBU,41339.59955,1262131200000,58,LEY 22 DEL 8 DE NOVIEMBRE DE 1983,0,05,01,09,050109,2017,155, ,,,,,,,154
155,GARACHINE,94520.20803,1259625600000,7,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,01,04,050104,2017,156, ,,,,,,,155
156,YAPE,195415.27104,1259625600000,32,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,02,06,050206,2017,157, ,,,,,,,156
157,CAMOGANTI,156292.6712,1262217600000,65,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,05,01,02,050102,2017,158, ,,,,,,,157
158,EL REAL DE SANTA MARTA (CABECERA),80021.59108,1262217600000,39,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,05,02,01,050201,2017,159, ,,,,,,,158
159,PAYA,227117.80458,1262304000000,17,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,05,02,03,050203,2017,160, ,,,,,,,159
160,CARLOS SANTANA AVILA,69108.55787,1230595200000,15,LEY 53 DEL 22 DE NOVIEMBRE DE 2002,0,09,10,09,091009,2017,161, ,,,,,,,160
161,EL BALE,90243.87723,1177891200000,15,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,05,05,120505,2018,162,R,,,,,,,161
162,LOLA,50124.92142,1168041600000,0,LEY 58 DEL 29 DE JULIO DE 1998,0,09,05,07,090507,2017,163, ,,,,,,,162
163,BAHIA HONDA,178582.44891,1149033600000,29,LEY 58 DEL 29 DE JULIO DE 1998,0,09,11,02,091102,2017,164, ,1,0,1,0,0,0,163
164,CIRILO GUAINORA (CABECERA),129368.59248,1264896000000,22,LEY 22 DEL 8 DE NOVIEMBRE DE 1983,0,11,01,01,110101,2017,165, ,1,0,1,0,0,0,164
165,LOS ANGELES,62027.33522,1168300800000,8,LEY 10 DEL 7 DE MARZO DE 1997,0,04,08,03,040803,2017,166, ,,,,,,,165
166,LOS NARANJOS,58957.66574,1196380800000,20,LEY 58 DEL 29 DE JULIO DE 1998,0,04,04,06,040406,2018,167,R,,,,,,,166
167,BAJO CEDRO,57401.18927,1231632000000,38,LEY 18 DEL 26 DE FEBRERO DEL 2008,0,01,03,06,010306,2017,168, ,,,,,,,167
168,CAUCHERO,103174.89856,1259539200000,135,LEY 5 DEL 19 DE ENERO DE 1998,3,01,01,03,010103, ,169,R,,,,,,,168
169,MAN CREEK,144001.66225,1264896000000,100,LEY 42 DEL 30 DE ABRIL DE 2003,0,12,08,04,120804,2018,170,R,,,,,,,169
170,CHIRIQUI GRANDE (CABECERA),88508.91196,1231632000000,55,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,01,03,01,010301,2017,171,R,2,0,2,0,0,0,170
