ï»¿OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,LastUpdate,Shape__Area,Shape__Length,Deaths
46,46,Comal,48091,091,199191.621457,58,1588523396286,1483554908.95508,199191.62145674,6
47,47,Comanche,48093,093,212117.026793,3,1588523396286,2444387595.74219,212117.026793243,1
48,48,Concho,48095,095,222085.599419,1,1588523396286,2562714283.31152,222085.599418793,
49,49,Cooke,48097,097,298869.044824,8,1588523396286,2321017545.66895,298869.044823636,
50,50,Coryell,48099,099,209256.405301,162,1588523396286,2725358424.40625,209256.405301441,2
51,51,Cottle,48101,101,204857.892796,2,1588523396286,2330845473.42773,204857.892796161,
52,52,Crane,48103,103,250854.497209,2,1588523396286,2026377397.56445,250854.497208768,
53,53,Crockett,48105,105,514712.683725,,1588523396286,7240825161.19629,514712.683725286,
54,54,Crosby,48107,107,193054.292364,2,1588523396286,2329340007.44141,193054.292364209,1
55,55,Culberson,48109,109,424364.96469,,1588523396286,9833977860.0625,424364.964690291,
56,56,Dallam,48111,111,257130.374338,12,1588523396286,3912180324.01953,257130.374338242,1
57,57,Dallas,48113,113,193655.088591,3899,1588523396286,2344880381.69238,193655.088591447,110
58,58,Dawson,48115,115,193048.90877,26,1588523396286,2328092766.41455,193048.908769978,1
59,59,Deaf Smith,48117,117,256533.314625,35,1588523396286,3880494751.83301,256533.314625117,
60,60,Delta,48119,119,237027.568662,1,1588523396286,717752865.430664,237027.56866152,
61,61,Denton,48121,121,198809.704259,799,1588523396286,2460499838.23926,198809.704258658,22
62,62,De Witt,48123,123,212318.175219,15,1588523396286,2351526541.93457,212318.175219353,1
63,63,Dickens,48125,125,193589.976193,1,1588523396286,2338458896.125,193589.976193404,
64,64,Dimmit,48127,127,239114.60518,1,1588523396286,3450092714.08496,239114.60517988,
65,65,Donley,48129,129,196724.063611,25,1588523396286,2416396645.79492,196724.063611096,
66,66,Duval,48131,131,293096.458698,3,1588523396286,4648794458.72852,293096.458698267,
67,67,Eastland,48133,133,199101.124659,3,1588523396286,2404189935.92871,199101.124658637,
68,68,Ector,48135,135,192916.945362,81,1588523396286,2325884701.14111,192916.945361807,4
69,69,Edwards,48137,137,343497.339922,,1588523396286,5469905328.1123,343497.339921689,
70,70,Ellis,48139,139,224794.812126,166,1588523396286,2455391007.70605,224794.812125863,6
