ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
55,55,22,043,GLADES,Glades,FL,273,2,10,30,52,55,33,31,30,23,6,1,1 to 90,42,117,154,2,273,0,0,24,188,3,122,0,121,152,0,0,273,119,2,0,0,26,95,0,121,1,3,15,34,32,17,12,5,1,1,0,3 to 89,38,96,18,3,4,76,41,4,18,0,13,0,0,1,121,95,26,121,0,0,412,0,533,412,121,1,130,71,61,2.27684336624256,0.231957009552348
56,56,8,015,CHARLOTTE,Charlotte,FL,5502,61,52,249,459,529,751,1058,1052,738,547,6,0 to 119,61,3250,2185,67,5483,19,0,151,4963,62,562,23,570,4927,1,4,5478,422,145,2,1,348,219,0,567,5,8,23,59,37,62,105,84,85,102,0,0 to 101,63,465,54,14,34,37,485,45,104,1,135,1,0,75,570,221,349,567,3,0,9323,16,9912,9339,570,75,88,69,68,3.83218059315228,0.165856243943894
57,57,58,115,SARASOTA,Sarasota,FL,13252,154,172,679,1175,1218,1644,2446,2782,1992,949,41,0 to 119,61,7484,5597,171,13012,240,0,468,12334,190,1048,99,868,12379,2,3,13007,785,59,18,6,475,369,0,844,6,8,61,107,101,101,122,128,135,99,0,0 to 104,59,659,58,67,60,105,637,102,211,13,179,10,1,92,868,384,484,844,24,0,28412,216,29501,28628,868,92,379,273,64,2.51442395330883,0.137455100826111
58,58,14,027,DESOTO,Desoto,FL,2437,54,95,204,331,335,430,478,279,155,70,6,0 to 102,49,974,1315,148,2427,10,0,44,1952,48,446,12,431,1994,0,12,2415,311,120,0,0,193,237,1,431,15,45,62,88,70,53,52,30,8,8,0,0 to 92,35,342,30,6,53,284,87,60,72,0,49,0,0,10,431,237,193,431,0,0,3276,10,3721,3286,431,10,522,396,62,1.62412905104683,0.150723124168937
59,59,18,035,FLAGLER,Flagler,FL,3875,42,38,189,366,450,549,770,771,483,211,6,0 to 119,59,2268,1554,53,3837,38,0,87,3683,37,202,37,216,3659,0,0,3837,178,30,8,0,124,84,0,208,0,4,16,23,24,34,52,41,18,4,0,5 to 94,56,126,33,42,7,28,171,9,34,3,24,2,1,5,216,88,128,208,8,0,6678,30,6928,6708,216,5,108,73,56,2.09459077711604,0.120416345978497
60,60,26,051,HENDRY,Hendry,FL,2451,79,88,308,449,389,351,334,203,137,106,7,0 to 119,42,1219,1222,10,2449,2,0,160,1733,32,703,3,724,1726,0,1,2448,687,37,0,0,289,435,0,724,21,24,102,169,146,105,72,40,27,18,0,0 to 101,38,581,67,20,56,536,149,39,118,0,72,0,0,22,724,435,289,724,0,0,3540,2,4267,3542,724,22,947,517,48,2.751957998189,0.279063453322294
61,61,31,061,INDIAN RIVER,Indian River,FL,5474,60,68,335,492,490,657,898,1084,790,587,13,0 to 119,62,3355,2096,23,5402,72,0,190,4837,77,530,61,317,5130,0,27,5378,292,14,9,2,167,139,0,306,4,12,41,47,41,41,30,43,36,22,0,0 to 99,47,178,21,33,74,68,145,93,85,6,46,3,0,13,317,146,171,306,11,0,9373,58,9748,9431,317,13,859,381,64,2.23772404689823,0.120741478735337
62,62,6,011,BROWARD,Broward,FL,96860,1227,1605,6587,14098,14791,17043,18370,12685,6761,3500,193,0 to 119,51,52602,42684,1574,95317,1543,0,2248,86996,2336,10840,1024,10448,86375,13,24,95283,8912,1260,252,24,5105,5065,2,10172,95,252,1136,1802,1725,1835,1713,966,587,337,0,0 to 102,46,5063,3545,891,673,3656,5880,636,2908,68,1788,56,22,367,10448,5247,5199,10172,276,0,145455,1264,157237,146719,10448,367,5111,4741,50,2.7919763283364,0.283663156516755
63,63,17,033,ESCAMBIA,Escambia,FL,17916,448,457,1441,2324,2087,2427,3330,2813,1618,933,38,0 to 119,54,10839,7036,41,15104,2812,0,178,17204,183,787,75,1127,16784,2,3,15099,826,63,238,0,516,373,0,889,18,35,147,155,146,141,164,124,124,72,1,0 to 105,50,402,326,30,131,39,663,187,102,1,73,1,1,41,1127,464,663,889,238,0,23766,2574,27478,26340,1127,41,427,347,54,4.36918308615684,0.166409867656292
64,64,47,093,OKEECHOBEE,Okeechobee,FL,1684,31,54,237,202,186,211,255,185,176,136,11,0 to 119,51,987,674,23,1674,10,0,72,1425,2,216,10,230,1454,0,0,1674,198,30,2,0,111,115,2,228,9,23,53,34,41,29,28,8,4,1,0,0 to 87,33,158,19,17,34,123,71,34,17,0,19,2,0,0,230,116,112,228,2,0,2496,8,2734,2504,230,0,259,179,56,2.58761125674549,0.21054521223227
