OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,12,2,1,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 64,39,NA,0,0,5,7,0,12,0,0,1,11,0,0,0,0,0,0,0,0,12,0,12,0,0,1,0,0,0,0,0,0,0,0,12,0,12,12,0,0,7,1,0.148496656273664,2.20493094417238
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,21,0,0,1,4,1,6,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21 to 88,53,NA,0,0,16,5,0,21,0,0,2,19,0,0,0,0,0,0,0,0,21,0,21,0,0,2,0,0,0,0,0,0,0,0,21,0,21,21,0,0,0,0,0.174026329932531,2.16969164096843
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29 to 76,52,NA,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0.204641327119816,3.02097391915482
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,16,0,0,3,0,3,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,23 to 93,57,NA,0,0,6,10,0,15,1,0,5,10,1,0,0,0,0,0,0,0,14,0,14,0,2,3,1,3,0,0,0,0,0,0,14,0,16,14,0,0,2,0,0.126367835571273,2.3015236638577
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,91,3,3,4,17,10,15,23,8,7,1,0,0,0,0,0,1,1,1,2,0,0,0,0 to 90,48,44 to 74,4,0,48,40,3,89,2,0,15,54,22,4,0,1,4,0,1,0,90,5,85,0,1,14,15,9,5,4,1,4,1,0,84,1,91,85,5,0,11,9,0.181027420621376,5.42268519828761
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,134,11,12,12,11,19,17,22,18,9,2,1,0,0,0,0,0,2,0,1,0,0,0,1 to 98,43,46 to 70,3,0,78,56,0,132,2,0,43,87,4,0,3,0,3,0,0,0,91,3,87,1,43,38,30,12,3,1,2,3,0,0,86,1,134,87,3,0,4,4,0.193837653608398,2.63367861758089
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,52,0,3,4,6,3,12,5,6,9,4,0,0,0,0,0,0,0,2,1,2,2,0,5 to 97,53,55 to 97,7,0,38,13,1,51,1,0,39,10,3,5,1,1,5,0,2,0,51,7,44,0,1,13,16,12,7,3,4,7,0,0,43,1,52,44,7,0,1,0,0.14260223695328,1.77124518958546
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,26,3,2,0,2,3,8,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0 to 79,43,NA,0,0,16,5,5,26,0,0,1,25,0,0,0,0,0,0,0,0,21,0,21,0,5,0,1,0,0,0,0,0,0,0,21,0,26,21,0,0,2,2,0.11799293374952,1.73644592186921
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,226,1,3,14,17,27,28,36,51,29,20,0,0,0,0,2,3,7,5,4,5,0,0,2 to 99,58,26 to 80,26,0,131,87,8,226,0,0,16,198,12,15,4,7,19,4,3,0,224,26,198,0,2,16,11,9,26,16,9,26,0,0,198,0,226,198,26,0,42,36,0.153458428359954,2.97866994052085
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,3270,121,96,310,635,571,479,436,347,187,85,3,2,7,24,45,35,38,28,19,7,1,0,0 to 102,44,0 to 86,200,0,1915,1334,21,3231,39,0,147,3019,104,69,80,57,146,30,30,2,3263,206,3057,0,7,158,90,118,206,106,97,200,6,0,3025,32,3270,3057,206,2,517,209,0.251838053049141,3.45236135962878
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,282,7,6,18,26,31,43,40,60,27,23,1,0,1,0,2,1,6,10,8,4,0,0,0 to 100,54,14 to 83,32,0,154,126,2,278,4,0,38,232,12,3,20,9,12,7,13,1,277,32,245,0,5,25,46,20,32,17,15,32,0,0,241,4,282,245,32,1,107,49,0.177648040277973,3.59179695002848
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,302,1,6,18,27,46,73,64,38,21,8,0,0,0,2,4,0,8,4,4,3,1,0,1 to 97,51,21 to 94,26,0,179,121,2,300,2,0,68,218,16,10,4,12,11,3,12,4,299,26,273,0,3,39,20,27,26,14,12,26,0,0,271,2,302,273,26,4,30,18,0.155892403786538,1.77574995677039
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,12,0,0,0,1,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 to 71,56,NA,0,0,7,5,0,11,1,0,1,10,1,0,0,0,0,0,0,0,12,0,12,0,0,1,1,0,0,0,0,0,0,0,11,1,12,12,0,0,0,0,0.15097302169238,1.60075687912497
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,542,11,15,43,48,71,84,80,112,51,27,0,0,0,2,3,2,4,2,4,0,1,0,0 to 119,53,19 to 88,17,0,319,213,10,540,2,0,27,480,35,14,0,4,16,0,2,0,408,18,390,0,134,75,189,29,18,6,12,17,1,0,390,0,542,390,18,0,62,57,0.399426439007584,3.40272879514356
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,528,14,14,34,75,85,62,90,95,47,11,1,0,0,3,4,7,9,4,13,3,1,0,0 to 94,50,17 to 89,43,0,333,190,5,524,4,0,46,432,50,28,4,12,30,3,11,1,522,44,478,0,6,31,30,39,44,18,26,43,1,0,475,3,528,478,44,1,154,103,0.289588880470774,5.33119702136491
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,27,1,1,3,2,6,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2 to 78,47,NA,0,0,13,14,0,27,0,0,4,23,0,0,0,0,0,0,0,0,27,0,27,0,0,6,0,0,0,0,0,0,0,0,27,0,27,27,0,0,0,0,0.169869356771869,2.28600352171305
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,807,26,10,58,75,89,115,141,137,122,33,1,0,0,2,2,5,4,9,7,8,1,0,0 to 99,54,21 to 85,34,0,473,304,30,799,8,0,36,742,29,5,17,16,19,10,9,0,800,38,761,1,7,40,18,24,38,20,18,34,4,0,759,3,807,762,38,0,107,80,0.276793966542982,3.13721776927308
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,63,3,3,2,12,6,6,7,14,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0 to 87,50,64 to 64,1,0,42,21,0,63,0,0,10,53,0,1,0,0,1,0,0,0,63,1,62,0,0,4,3,2,1,0,1,1,0,0,62,0,63,62,1,0,3,2,0.26941783900088,3.28561267581298
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,596,3,6,9,13,17,40,83,279,137,9,0,0,0,1,0,1,3,0,22,11,2,0,0 to 96,66,18 to 92,40,0,338,257,1,596,0,0,28,537,31,13,10,17,18,9,13,0,590,40,545,5,6,61,23,21,40,21,19,40,0,0,545,0,596,545,40,0,24,21,0.138739000573651,2.17022236887083
