OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,PUI_FLRes,PUI_NonRes,C_AllResTypes,C_FLResOnly,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUIFLResOut,PUINotFLRes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths1,EverMon,MonNow,Shape__Area,Shape__Length
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,21,1,1,2,2,5,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2 to 78,46,NA,21,0,0,0,8,13,0,21,0,0,0,0,0,0,0,0,0,21,0,21,0,6,0,0,0,0,0,0,21,0,21,21,0,0,0,0,0.169869356771869,2.28600352171305
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,661,20,9,44,57,72,100,110,120,100,28,1,0,0,1,2,3,3,7,7,8,1,0,0 to 99,54,21 to 85,628,1,32,27,391,251,19,655,6,0,4,17,11,14,10,8,0,661,32,628,1,36,32,17,15,27,5,0,628,1,668,629,32,0,82,58,0.276793966542982,3.13721776927308
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,55,3,3,2,11,6,5,6,12,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0 to 87,48,64 to 64,54,0,1,1,37,18,0,55,0,0,1,0,0,1,0,0,0,55,1,54,0,3,1,0,1,1,0,0,54,0,55,54,1,0,3,2,0.26941783900088,3.28561267581298
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,450,2,4,9,10,13,30,64,209,103,6,0,0,0,1,0,1,1,0,17,8,1,0,1 to 96,66,18 to 92,416,5,29,29,270,180,0,450,0,0,12,5,12,16,4,9,0,450,29,416,5,58,29,15,14,29,0,0,416,0,465,416,29,0,18,15,0.138739000573651,2.17022236887083
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,673,13,15,62,112,112,112,108,81,31,27,0,0,0,4,13,8,9,13,6,1,0,0,0 to 104,47,19 to 76,619,0,54,52,411,252,10,668,5,0,18,12,24,31,9,14,0,673,54,619,0,48,54,24,30,52,2,0,616,3,706,619,54,0,145,118,0.0825017178208327,1.54465854985956
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,1991,80,54,184,311,337,317,301,231,114,62,0,0,1,15,23,32,40,34,13,13,3,0,0 to 99,46,9 to 90,1817,0,174,160,1107,877,7,1923,67,1,42,81,51,69,64,41,4,1991,174,1817,0,79,174,98,76,160,13,1,1763,54,2008,1817,174,4,293,144,0.239823210192753,2.69541534678978
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,147,2,2,9,13,10,20,36,24,20,11,0,0,0,1,1,2,0,5,0,2,0,0,1 to 97,57,17 to 80,136,0,11,11,88,55,4,146,1,0,2,7,2,8,1,2,1,147,11,136,0,24,11,4,7,11,0,0,135,1,158,136,11,1,83,31,0.144732057650344,2.36078129171821
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,173,3,7,14,24,21,24,24,33,15,8,0,0,0,2,3,0,0,1,5,1,0,0,0 to 93,51,19 to 79,161,0,12,12,105,67,1,167,6,0,9,1,2,10,1,1,0,173,12,161,0,36,12,6,6,12,0,0,155,6,176,161,12,0,19,15,0.116176883037724,1.97468350184421
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,1487,29,26,94,193,182,240,262,278,118,63,2,0,0,7,10,5,13,21,18,8,0,0,0 to 104,52,18 to 83,1404,1,82,74,866,609,12,1464,23,0,39,8,35,53,2,27,1,1487,82,1404,1,207,82,54,28,74,8,0,1390,15,1551,1405,82,1,177,113,0.0695827304341492,3.37527233635509
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,41,0,2,1,3,3,6,8,11,5,2,0,0,0,0,0,0,1,0,0,0,0,0,7 to 86,57,51 to 51,40,0,1,1,32,9,0,41,0,0,0,0,1,1,0,0,0,41,1,40,0,29,1,0,1,1,0,0,40,0,51,40,1,0,5,4,0.167912477110349,2.13933971528732
