OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
27,27,35,069,LAKE,Lake,FL,4597,115,106,300,570,584,739,780,690,543,164,6,0 to 101,53,2555,1969,73,4534,63,0,85,4259,222,229,3830,77,219,4367,1,10,4523,191,16,12,0,105,102,0,207,1,7,12,21,33,41,34,37,31,2,0,1 to 86,52,97,22,68,20,61,121,25,91,10,53,4,1,10,219,109,110,207,12,0,4316,51,4597,4367,219,10,280,101,2995995460.71371,331014.242454318
28,28,38,075,LEVY,Levy,FL,471,12,14,47,65,62,69,92,59,34,16,1,0 to 118,50,294,168,9,471,0,0,13,439,16,36,399,2,13,458,0,0,471,11,2,0,0,9,4,0,13,0,0,1,1,4,2,3,0,1,1,0,16 to 93,48,7,3,1,2,2,9,2,5,0,2,0,0,0,13,4,9,13,0,0,458,0,471,458,13,0,37,23,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,Sumter,FL,1720,16,14,47,81,74,144,239,683,380,41,1,0 to 96,68,895,757,68,1713,7,0,94,1460,164,174,1432,52,167,1527,0,26,1687,126,41,0,0,60,107,0,167,0,0,4,4,14,24,29,56,31,5,0,17 to 92,66,149,12,2,4,9,154,4,51,0,39,0,0,12,167,107,60,167,0,0,1520,7,1720,1527,167,12,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,Seminole,FL,4746,92,104,386,826,870,864,741,546,191,123,3,0 to 104,46,2759,1948,39,4736,10,0,180,4314,246,322,4061,90,348,4389,3,6,4727,305,37,6,0,178,164,0,342,3,5,30,66,51,66,45,52,18,12,0,1 to 100,47,246,42,37,17,128,191,23,153,5,80,1,0,8,348,166,182,342,6,0,4385,4,4746,4389,348,8,384,151,893350621.597626,158549.770327082
31,31,48,095,ORANGE,Orange,FL,20590,528,596,1779,3549,3733,3747,3331,2034,914,368,11,0 to 120,45,11514,8998,78,20205,384,1,461,19474,585,847,17936,300,1290,19282,3,15,20188,1132,96,58,4,591,635,2,1228,19,18,135,216,239,267,203,107,62,24,0,0 to 101,45,571,164,347,146,407,452,369,434,35,221,30,2,30,1290,670,618,1227,62,1,18960,322,20590,19282,1290,30,576,379,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,Citrus,FL,1433,20,29,86,178,174,203,256,258,161,64,4,0 to 98,56,789,487,157,1429,4,0,39,1270,119,161,1150,24,95,1336,1,1,1427,44,51,0,0,48,47,0,95,1,4,5,8,6,14,24,15,12,6,0,3 to 93,59,64,1,6,24,9,63,23,26,0,25,0,0,9,95,47,48,95,0,0,1332,4,1433,1336,95,9,343,80,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,Hernando,FL,1473,20,21,103,215,211,249,264,214,129,46,1,0 to 97,51,845,620,8,1457,16,0,50,1355,66,115,1185,37,86,1387,0,0,1457,44,36,5,1,41,39,0,80,0,2,4,16,12,13,17,15,6,1,0,9 to 85,49,52,5,3,20,12,35,33,29,2,20,2,1,3,86,41,45,80,6,0,1377,10,1473,1387,86,3,41,24,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,Pinellas,FL,12219,162,171,787,1742,1708,2042,2273,1766,975,569,24,0 to 120,52,7277,4909,33,12065,154,0,735,11027,411,1100,9954,322,673,11422,9,115,11942,554,78,35,6,332,300,0,632,1,4,43,89,70,111,127,98,65,65,0,1 to 101,56,501,80,35,16,56,548,28,171,16,151,14,1,24,673,325,348,632,41,0,11310,112,12219,11422,673,24,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,Suwannee,FL,515,20,6,37,76,66,68,87,80,39,33,3,0 to 118,53,336,164,15,515,0,0,48,355,110,128,356,5,107,406,0,2,513,23,84,0,0,77,30,0,107,0,1,11,12,13,10,14,17,15,14,0,5 to 102,60,72,31,0,4,3,99,5,24,0,29,0,0,10,107,30,77,107,0,0,406,0,515,406,107,10,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,Duval,FL,19787,307,374,1901,3649,3287,3277,3280,2092,1030,556,34,0 to 119,46,11057,8025,705,19682,105,0,313,18990,454,301,18618,73,955,18751,9,72,19601,828,105,13,9,498,434,1,933,7,15,78,164,163,146,174,110,65,33,0,0 to 97,49,217,184,52,480,31,381,521,120,8,92,4,0,18,955,444,507,933,22,0,18668,83,19787,18751,955,18,621,552,2136692125.83844,339628.979868484
