ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
57,57,58,115,SARASOTA,Sarasota,FL,4404,54,65,236,434,503,624,754,764,586,381,3,0 to 115,58,2510,1809,85,4270,134,0,354,3841,190,573,82,334,4067,1,2,4267,274,43,11,6,179,138,0,317,2,1,11,29,31,44,51,69,56,40,0,0 to 102,64,258,18,23,18,36,244,37,134,11,110,8,0,39,334,148,186,317,17,0,3950,117,4404,4067,334,39,222,117,2.51442395330883,0.137455100826111
58,58,14,027,DESOTO,Desoto,FL,515,16,6,24,73,71,81,82,81,55,25,1,0 to 93,53,260,218,37,513,2,0,8,446,48,99,3,26,485,0,4,509,19,7,0,0,10,16,0,26,0,0,0,5,1,3,7,5,3,2,0,27 to 92,62,21,1,0,4,5,14,7,10,0,9,0,0,4,26,16,10,26,0,0,483,2,515,485,26,4,3,0,1.62412905104683,0.150723124168937
59,59,18,035,FLAGLER,Flagler,FL,1433,17,13,71,156,204,198,279,283,164,47,1,0 to 98,57,801,590,42,1419,14,0,43,1334,37,116,34,131,1301,1,0,1418,110,17,4,0,73,54,0,127,0,1,5,15,18,19,33,28,12,0,0,7 to 84,57,90,13,18,6,15,104,8,17,2,10,2,0,2,131,55,76,127,4,0,1291,10,1433,1301,131,2,56,27,2.09459077711604,0.120416345978497
60,60,26,051,HENDRY,Hendry,FL,510,11,10,48,80,90,79,83,56,31,22,0,0 to 101,47,274,230,6,509,1,0,21,438,32,76,2,72,437,0,1,508,50,22,0,0,38,34,0,72,1,2,4,9,17,11,13,6,5,4,0,2 to 101,46,42,28,1,1,23,45,4,28,0,19,0,0,2,72,34,38,72,0,0,436,1,510,437,72,2,169,110,2.751957998189,0.279063453322294
61,61,31,061,INDIAN RIVER,Indian River,FL,1751,16,23,104,180,167,247,343,361,203,106,1,0 to 105,59,1052,667,32,1737,14,0,83,1591,77,144,53,90,1612,0,49,1690,68,12,8,2,33,47,0,80,0,1,5,8,4,11,16,22,14,9,0,8 to 96,64,60,5,14,1,4,65,11,42,5,24,2,0,6,90,53,37,80,10,0,1610,2,1751,1612,90,6,243,72,2.23772404689823,0.120741478735337
62,62,6,011,BROWARD,Broward,FL,44732,380,535,2884,7280,7703,8452,8041,5231,2721,1426,79,0 to 119,49,23793,19296,1643,43817,915,0,1261,40729,2336,3320,808,4847,39826,30,29,43762,3834,886,107,20,2321,2396,3,4720,10,35,344,770,786,933,912,569,302,186,0,0 to 102,50,2300,1561,454,405,1508,2817,395,1561,51,913,41,3,179,4847,2474,2370,4720,127,0,39042,784,44732,39826,4847,179,934,594,2.7919763283364,0.283663156516755
63,63,17,033,ESCAMBIA,Escambia,FL,6805,240,214,650,1029,963,988,1146,840,476,247,12,0 to 105,48,4068,2712,25,6156,649,0,111,6465,183,389,57,485,6295,8,17,6131,381,42,62,0,233,190,0,423,5,5,46,52,73,61,82,65,61,35,0,0 to 100,55,205,137,11,70,9,308,106,53,0,40,0,0,11,485,216,269,423,62,0,5708,587,6805,6295,485,11,126,53,4.36918308615684,0.166409867656292
64,64,47,093,OKEECHOBEE,Okeechobee,FL,360,10,15,36,41,43,68,62,48,29,7,1,0 to 97,50,195,150,15,357,3,0,36,322,2,33,7,10,349,0,1,356,7,2,1,0,8,1,0,9,0,0,0,1,1,3,2,2,1,0,0,33 to 76,56,8,0,0,1,0,8,1,1,0,4,1,0,0,10,2,8,9,1,0,347,2,360,349,10,0,20,7,2.58761125674549,0.21054521223227
65,65,19,037,FRANKLIN,Franklin,FL,87,1,3,9,11,6,11,23,13,10,0,0,3 to 84,56,38,47,2,86,1,0,8,79,0,5,3,2,85,0,0,86,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,85,0,87,85,2,0,3,2,4.43935170547995,0.135013808620425
66,66,1,001,ALACHUA,Alachua,FL,6631,123,88,732,1186,914,838,980,927,545,253,45,0 to 118,48,3820,2593,218,6501,130,0,133,6416,61,260,45,255,6369,7,0,6494,215,29,5,6,144,100,0,244,1,0,38,48,28,37,41,38,16,7,1,2 to 94,49,104,76,19,45,18,179,47,59,4,42,2,0,2,255,103,152,244,11,0,6250,119,6631,6369,255,2,74,55,2.62533239231304,0.233996913333188
67,67,55,109,ST. JOHNS,St. Johns,FL,4842,83,108,340,567,809,884,852,683,363,145,8,0 to 101,50,2633,2090,119,4829,13,0,185,4436,208,270,112,207,4627,1,7,4822,158,41,5,3,96,103,0,199,1,5,14,19,21,45,50,38,11,3,0,2 to 97,53,155,11,13,20,11,163,25,55,3,35,3,0,4,207,109,98,199,8,0,4623,4,4842,4627,207,4,147,114,3.24633645681211,0.154879969128212
68,999,999,999,Unknown,Unknown,FL,54,0,0,6,12,5,10,6,5,5,3,2,19 to 95,47,28,22,4,16,38,0,0,54,0,0,0,4,49,0,1,16,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,34 to 77,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,4,0,16,33,54,49,4,0,15,12,0.736908814303344,0.0426371109693887
