OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
75,Pulaski,PULASKI,52014,1428844100.64917,154094.633550644,31,1,1,11,,,,,,,,,,,,475b813e-6a9b-45d9-9b76-05138be09cc3,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:16:50.173Z,mophep,,,,,,,,,,,
76,Perry,PERRY,19150,1254989465.23169,189577.287610022,39,,15,13,,,,,,,,,,,,538d38e0-b8d0-4b79-b148-034eb7acfa67,2020-03-24T20:48:38.049Z,mophep,2020-04-17T18:54:37.329Z,mophep,,,,,,,,,,,
77,Cedar,CEDAR,14165,1290413994.52417,152229.611940965,5,,0,7,,,,,,,,,,,,ad405200-ee1f-4ef4-bf26-3bad8764092f,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:23:12.759Z,mophep,,,,,,,,,,,
78,Dallas,DALLAS,16762,1406475578.55298,168394.443356016,2,,,1,,,,,,,,,,,,6d7e611c-5903-4ee6-ac32-793b7236a71c,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:48:38.450Z,mophep,,,,,,,,,,,
79,Laclede,LACLEDE,35713,1987120166.11853,205549.772496555,0,,,,,,,,,,,,,,,a669ae31-67a6-4e9a-8243-952a3aecd849,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:00:39.849Z,mophep,,,,,,,,,,,
80,Polk,POLK,32201,1662482833.50122,170239.749176206,1,,,1,,,,,,,,,,,,0941adbc-bd5c-4e7d-b06e-55432da0b9ae,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:23.711Z,mophep,,,,,,,,,,,
81,Dent,DENT,15441,1953530644.56396,215694.106436872,0,,,,,,,,,,,,,,,a6fc251a-2719-4c6b-9a24-8fdca7c87879,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:48:58.383Z,mophep,,,,,,,,,,,
82,Iron,IRON,10177,1430257400.20972,216366.970070118,2,,,,,,,,,,,,,,,7dfffdbf-6ce6-4a5f-8b62-2b30b35b6dc1,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:14:43.942Z,mophep,,,,,,,,,,,
83,Madison,MADISON,12188,1290523546.72729,144351.851788262,1,,,1,,,,,,,,,,,,b4fbb545-7a71-4256-b864-7c0f06b16d35,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:23:36.121Z,mophep,,,,,,,,,,,
84,Barton,BARTON,11798,1544860517.61267,159956.857822053,0,,,,,,,,,,,,,,,f110957e-304e-49a0-9f0a-1436499f285c,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:21:27.623Z,mophep,,,,,,,,,,,
85,Bollinger,BOLLINGER,12169,1610177731.87622,188320.913691066,3,,,2,,,,,,,,,,,,5c5399ed-4e9c-4d11-9aa7-952882183f11,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:21:54.364Z,mophep,,,,,,,,,,,
86,Cape Girardeau,CAPE GIRARDEAU,78753,1519863089.88257,200276.52952856,36,1,1,19,,,,,,,,,,,,68b3c067-851c-4534-98b3-83273e180e04,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:33:39.659Z,mophep,,,,,,,,,,,
87,Reynolds,REYNOLDS,6254,2108756704.43384,227933.444270898,2,,1,1,,,,,,,,,,,,01b210d2-f111-4858-bb14-8180ec0b1c37,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:49.522Z,mophep,,,,,,,,,,,
