ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
42,42,5,009,BREVARD,Brevard,FL,21386,277,401,1521,2305,2383,2975,4621,4040,2140,575,148,0 to 119,56,12039,9246,101,21363,23,0,506,20009,107,1720,111,2521,18863,0,2,21361,2435,69,14,3,1274,1225,5,2504,30,67,546,551,387,346,311,157,77,49,0,0 to 99,36,1465,158,161,720,418,1377,709,264,3,131,3,0,19,2521,1232,1284,2504,17,0,49236,6,51772,49242,2521,19,1061,1003,42,36,7.43388258345288,0.247147786992
43,43,53,105,POLK,Polk,FL,22419,528,656,1995,3130,3093,3230,3426,3189,1990,840,342,0 to 119,50,12703,9527,189,22319,100,0,629,19693,231,2322,155,5196,17202,1,20,22298,4715,460,19,2,2711,2454,10,5175,94,195,800,1027,934,753,572,397,263,160,1,0 to 103,39,2377,714,454,1630,1228,2030,1917,769,10,495,5,1,105,5196,2462,2724,5175,21,0,47385,79,52692,47464,5196,105,1990,1419,46,39,3.74731907845249,0.477444147523754
44,44,49,097,OSCEOLA,Osceola,FL,15583,213,448,1318,2411,2309,2554,2512,1859,928,333,698,0 to 155,48,8611,6889,83,15490,93,0,862,13322,390,1628,220,2966,12558,2,57,15432,2861,40,63,2,1477,1412,12,2901,49,98,466,742,497,489,316,173,106,28,2,0 to 102,37,984,173,915,829,1248,569,1084,414,9,205,7,2,27,2966,1457,1496,2901,65,0,27261,27,30303,27288,2966,27,1500,988,44,37,3.37526858197538,0.357928282021791
45,45,28,055,HIGHLANDS,Highlands,FL,3998,65,64,214,424,371,475,631,737,638,359,20,0 to 119,61,2419,1542,37,3932,66,0,86,3607,47,362,31,405,3587,0,6,3926,355,47,3,0,219,183,0,402,12,13,50,60,56,68,67,41,33,5,0,0 to 91,47,232,74,58,38,138,220,44,93,2,69,1,0,11,405,186,219,402,3,0,9453,63,9937,9516,405,11,538,424,51,47,2.84124660964211,0.261466143584495
46,46,36,071,LEE,Lee,FL,31009,395,558,2680,3982,3964,4390,5037,5068,3349,1524,62,0 to 119,53,17599,13156,254,29991,1017,1,877,26938,613,3657,188,7498,23489,1,21,29970,7098,256,138,6,3824,3463,67,7354,126,226,1196,1412,1194,1131,897,597,401,311,7,0 to 101,41,3629,874,194,2657,2065,2532,2757,1102,16,626,13,4,165,7498,3544,3885,7353,144,1,56167,873,64560,57040,7498,165,2987,1381,46,41,5.53875412350018,0.191375285005442
47,47,11,021,COLLIER,Collier,FL,18404,424,718,1903,2214,2339,2406,2670,2829,2148,715,38,0 to 105,51,9830,8474,100,18036,368,0,583,14684,356,3401,172,5019,13276,3,106,17927,4600,330,73,16,2436,2473,21,4930,148,266,928,840,857,710,584,341,237,108,0,0 to 101,38,2338,216,375,2001,2139,953,1838,551,20,352,11,6,85,5019,2527,2471,4930,89,0,31978,279,37299,32257,5019,85,4022,3036,40,38,5.51085434088275,0.469024646004233
48,48,13,025,DADE,Dade,FL,183321,2079,3254,15391,30203,29553,33168,30575,20411,11480,6539,668,0 to 225,48,95269,86905,1147,181791,1529,1,4547,164235,2785,19753,1032,47012,136041,100,168,181525,45508,937,557,9,23077,23316,52,46445,546,1094,5386,8986,7924,8349,6631,4060,2343,1629,63,0 to 119,44,19507,5798,1729,19411,20043,7203,19199,7162,50,4144,31,15,1043,47011,23606,23334,46444,566,1,308208,962,356623,309170,47011,1043,6019,5279,47,44,5.08399988470576,0.459639407492568
49,49,44,087,MONROE,Monroe,FL,4046,34,75,271,520,551,686,867,631,302,108,1,0 to 101,53,2108,1927,11,3959,87,0,1321,2147,83,886,138,367,3638,0,41,3922,327,23,13,4,161,188,1,350,4,15,36,64,57,60,50,44,25,12,0,0 to 100,46,219,12,7,112,91,145,114,57,4,23,3,0,5,367,199,167,350,17,0,6050,65,6482,6115,367,5,904,627,54,46,13.2628040836788,0.235931608548315
50,50,57,113,SANTA ROSA,Santa Rosa,FL,7655,240,293,790,1034,1058,1136,1231,1062,559,242,10,0 to 119,49,4215,3411,29,7586,69,0,175,6822,99,605,94,867,6787,0,1,7585,810,49,8,0,410,447,2,859,12,17,263,157,111,126,96,47,25,13,0,0 to 98,34,642,58,22,137,30,665,164,45,0,42,1,0,9,867,450,415,859,8,0,13342,61,14273,13403,867,9,1569,1024,41,34,3.552029247735,0.244558859494853
51,51,66,131,WALTON,Walton,FL,1832,53,51,137,201,243,269,322,258,162,133,3,0 to 101,53,1014,781,37,1758,74,0,59,1597,15,339,58,318,1514,0,0,1758,261,23,31,3,150,134,0,284,6,15,47,42,56,40,59,29,18,6,0,0 to 101,42,257,14,5,8,78,194,12,49,8,29,2,0,9,318,148,170,284,34,0,3610,40,3972,3650,318,9,199,144,46,42,3.60138877830291,0.254870622087333
52,52,32,063,JACKSON,Jackson,FL,3170,33,46,278,539,538,545,487,320,235,143,6,0 to 105,47,1437,1643,90,3147,23,0,18,2638,19,389,34,406,2762,1,1,3145,358,39,8,1,112,285,0,397,6,10,48,89,88,74,56,24,8,3,0,0 to 93,40,185,146,21,45,31,246,120,52,2,32,0,0,2,406,289,117,397,9,0,5226,14,5656,5240,406,2,604,402,40,40,2.21646510608254,0.231093280808265
53,53,67,133,WASHINGTON,Washington,FL,940,12,16,60,99,118,152,198,131,99,55,0,0 to 119,55,554,364,22,933,7,0,38,746,9,162,15,121,816,0,3,930,92,26,3,0,62,55,1,118,0,2,7,14,13,18,24,20,16,7,0,9 to 99,57,82,25,1,10,1,104,13,16,0,21,0,0,13,121,56,64,118,3,0,1795,4,1921,1799,121,13,212,154,59,57,2.37953061790718,0.14998158443965
54,54,45,089,NASSAU,Nassau,FL,3528,47,58,297,370,424,484,663,620,387,174,4,0 to 103,56,1904,1434,190,3417,111,0,92,3212,28,210,47,313,3206,0,9,3408,281,22,8,2,149,153,1,303,3,6,72,48,62,40,39,29,8,6,0,0 to 93,40,180,30,12,81,12,204,87,48,1,23,0,0,1,313,156,156,303,10,0,7709,101,8128,7810,313,1,408,402,43,40,3.75942130773243,0.154419685909309
55,55,22,043,GLADES,Glades,FL,352,8,15,49,71,69,42,33,32,26,6,1,1 to 90,39,166,185,1,352,0,0,36,207,3,160,0,179,173,0,0,352,177,2,0,0,64,115,0,179,4,4,31,49,46,24,13,5,2,1,0,1 to 89,35,123,22,8,26,95,56,28,25,0,17,0,0,1,179,115,64,179,0,0,523,0,703,523,179,1,168,109,37,35,2.27684336624256,0.231957009552348
