OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_TravelYes,C_TravelNo,C_TravelUnkn,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_PendRes,T_PendNotRes,T_total,T_negative,T_pending,T_positive,FLandNonFLDeaths,EverMon,MonNow,Shape__Area,Shape__Length
53,53,67,133,WASHINGTON,2000-05-16T00:00:00.000Z,17212291868.187,801011.879871898,68,Washington,FL,53,67,133,17,0,1,1,1,3,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5 to 82,53,NA,0,0,7,5,5,17,0,0,4,12,1,0,0,0,0,0,0,0,12,0,12,0,5,5,0,1,0,0,0,0,0,0,0,0,0,12,0,5,0,17,12,5,0,0,0,0,0.149981584511352,2.37953061583229
54,54,45,089,NASSAU,2000-05-16T00:00:00.000Z,17668341931.5773,1275144.97327404,45,Nassau,FL,54,45,89,39,1,1,0,3,2,4,10,11,4,3,0,0,0,0,0,0,1,1,2,0,0,0,4 to 87,59,50 to 68,4,0,24,15,0,38,1,0,6,25,8,1,2,1,3,0,1,0,38,4,34,0,1,12,2,5,4,2,2,2,1,1,4,0,0,33,1,1,0,39,34,1,4,0,2,1,0.154419685912671,3.75942131276634
55,55,22,043,GLADES,2000-05-16T00:00:00.000Z,27470534483.1281,776973.436241095,22,Glades,FL,55,22,43,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57 to 69,63,NA,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1,1,0.231957009644475,2.27684337207949
56,56,8,015,CHARLOTTE,2000-05-16T00:00:00.000Z,19647662652.4031,1306868.96108577,8,Charlotte,FL,56,8,15,108,0,1,7,7,8,16,19,27,15,7,1,0,0,0,0,0,1,2,0,0,0,0,13 to 96,59,54 to 59,3,0,59,48,1,106,2,0,10,97,1,1,2,0,2,0,1,0,103,3,100,0,5,6,1,3,3,2,1,1,2,0,3,0,0,99,1,4,1,108,100,5,3,0,26,20,0.165856243910412,3.83218059272218
57,57,58,115,SARASOTA,2000-05-16T00:00:00.000Z,16244595346.2406,866480.222854252,56,Sarasota,FL,57,58,115,538,3,4,19,30,33,58,77,116,123,75,0,0,0,0,0,0,4,4,9,12,3,0,1 to 99,65,49 to 87,26,0,267,260,11,513,25,0,240,276,22,14,4,14,17,1,14,1,447,32,415,0,91,198,40,21,32,20,12,12,20,0,26,6,0,404,11,83,8,538,415,91,32,1,98,31,0.137455100861871,2.51442395634828
58,58,14,027,DESOTO,2000-05-16T00:00:00.000Z,17811561535.2703,552611.74528102,14,Desoto,FL,58,14,27,48,1,0,2,10,7,4,8,6,9,1,0,0,0,0,4,0,0,0,0,0,0,0,3 to 85,53,27 to 32,4,0,21,17,10,48,0,0,31,17,0,4,0,0,4,0,0,0,28,4,24,0,20,7,10,14,4,3,1,0,4,0,4,0,0,24,0,20,0,48,24,20,4,0,3,3,0.150723124235356,1.62412905311109
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,80,0,0,5,11,11,13,14,18,7,1,0,0,0,0,0,0,1,2,3,0,0,0,18 to 88,53,45 to 72,6,0,46,34,0,80,0,0,8,66,6,5,0,1,5,0,1,0,80,6,74,0,0,2,25,6,6,4,2,1,2,3,6,0,0,74,0,0,0,80,74,0,6,0,21,9,0.120416345920148,2.09459077681281
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,22,0,0,1,4,7,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21 to 85,48,NA,0,0,10,12,0,22,0,0,2,19,1,0,0,0,0,0,0,0,20,0,20,0,2,4,2,0,0,0,0,0,0,0,0,0,0,20,0,2,0,22,20,2,0,0,2,2,0.279063453466733,2.75195800128411
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,140,4,1,10,5,11,18,32,33,15,10,1,0,0,0,2,0,2,3,2,3,0,0,0 to 105,58,25 to 84,11,0,87,51,2,138,2,0,13,102,25,9,0,3,11,0,1,0,132,12,120,0,8,23,4,11,12,4,8,7,5,0,11,1,0,119,1,8,0,140,120,8,12,0,10,0,0.12074147872454,2.23772404810418
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,4214,49,61,318,672,719,787,698,542,241,122,5,2,0,52,54,53,66,79,59,29,17,1,0 to 104,48,0 to 96,397,0,2210,1857,147,4153,61,0,548,3364,302,99,137,176,221,128,63,3,3972,412,3559,1,242,260,371,394,412,244,160,110,142,160,397,15,0,3517,43,239,3,4214,3560,242,412,3,300,127,0.283663156598777,2.79197632720633
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,237,4,10,22,50,33,40,42,24,11,1,0,0,0,3,3,1,4,5,0,1,0,0,1 to 94,44,22 to 76,17,0,140,96,1,223,14,0,23,205,9,8,7,2,15,2,0,0,234,17,217,0,3,18,11,7,17,11,6,4,12,1,17,0,0,203,14,3,0,237,217,3,17,0,23,1,0.166409867704033,4.36918307875198
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,31,0,1,4,3,3,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13 to 82,52,NA,0,0,17,14,0,30,1,0,18,6,7,0,0,0,0,0,0,0,22,0,22,0,9,21,2,1,0,0,0,0,0,0,0,0,0,22,0,8,1,31,22,9,0,0,1,1,0.210545212249372,2.58761126719217
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,13,0,1,0,0,1,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7 to 84,63,NA,0,0,5,8,0,13,0,0,3,9,1,0,0,0,0,0,0,0,12,0,12,0,1,5,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,13,12,1,0,0,0,0,0.135013808637041,4.43935170101401
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,848,37,11,172,173,108,83,84,104,42,23,11,1,0,14,9,4,5,6,6,1,0,0,0 to 118,42,2 to 75,43,0,515,324,9,841,7,0,189,634,25,9,30,7,14,27,5,0,795,46,749,0,53,29,24,8,46,19,27,11,12,23,43,3,0,745,4,53,0,848,749,53,46,0,11,1,0.233996913312694,2.62533240184905
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,442,10,4,26,67,78,71,65,71,33,15,2,0,0,2,2,4,9,4,6,1,0,0,0 to 96,50,21 to 76,26,0,236,168,38,438,4,0,116,286,40,9,1,18,18,1,9,1,417,28,389,0,25,76,51,49,28,21,7,10,18,0,26,2,0,387,2,25,0,442,389,25,28,1,26,11,0.154879969133162,3.24633645633305
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33 to 69,52,NA,0,0,3,1,0,1,3,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,4,0,0,0,3,2,0.0365049482570612,0.677301450262072
