OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,62,2,2,1,6,11,10,16,6,3,4,1,0,0,0,1,1,1,1,2,2,1,53,1 to 95,67,29 to 93,8,38,23,1,60,2,0,16,43,3,5,0,4,7,0,2,0,56,9,47,0,6,3,1,21,9,4,5,8,1,0,46,1,62,47,9,0,29,20,1581350101.5302,228391.565390175,2,0,3,1
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,98,13,4,8,11,13,14,9,14,8,3,1,2,0,2,2,1,2,2,2,1,0,44,0 to 89,46,0 to 77,13,56,39,3,97,1,0,21,74,3,8,3,3,13,0,1,0,96,14,82,0,2,7,12,20,14,5,9,13,1,0,82,0,98,82,14,0,41,38,1853116752.08771,219176.19751538,1,0,3,0
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,20,1,2,2,5,3,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34,2 to 76,56,56 to 56,1,11,8,1,20,0,0,1,19,0,0,0,1,1,0,0,0,20,1,19,0,0,0,0,1,1,1,0,1,0,0,19,0,20,19,1,0,4,4,2183538740.41838,308797.501184753,0,0,1,0
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,60,0,1,8,8,9,6,14,7,5,2,0,0,0,0,0,0,0,2,0,0,0,52,11 to 93,59,56 to 62,2,30,25,5,58,2,0,12,46,2,1,0,1,2,0,0,0,59,2,57,0,1,8,2,6,2,0,2,2,0,0,56,1,60,57,2,0,2,0,1344926537.82205,232510.619937192,0,0,1,0
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,445,5,7,29,66,69,97,80,54,30,8,0,0,0,2,6,7,10,5,5,0,1,49,0 to 99,47,21 to 93,35,231,187,27,443,2,0,44,374,27,20,3,13,31,0,5,1,445,36,409,0,0,27,28,19,36,21,15,35,1,0,408,1,445,409,36,1,31,29,1930770661.49939,558412.990825665,4,1,12,1
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,386,17,22,31,44,59,54,75,53,22,6,3,1,0,2,4,1,3,8,3,1,0,48,0 to 118,59,1 to 76,23,206,161,19,382,4,0,87,284,15,2,21,0,18,1,4,0,379,23,355,1,7,104,54,33,23,10,13,23,0,0,354,2,386,356,23,0,7,6,2068684690.43686,276060.430857214,4,0,0,0
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,200,5,6,19,34,22,37,27,16,21,13,0,0,0,1,1,0,0,4,3,4,3,49,0 to 99,70,24 to 97,16,132,54,14,198,2,0,49,148,3,12,1,3,10,0,6,2,200,16,184,0,0,14,22,16,16,6,10,16,0,0,182,2,200,184,16,2,1,0,1520245937.66486,183737.354704368,6,0,3,0
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,85,4,3,6,12,10,18,13,12,5,1,1,0,0,0,1,1,0,0,0,0,0,48,0 to 100,33,27 to 39,2,49,24,12,84,1,0,3,81,1,0,0,2,2,0,0,0,78,2,76,0,7,0,3,0,2,2,0,2,0,0,75,1,85,76,2,0,3,3,1251550190.83949,175658.620344926,0,0,2,0
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1045,14,11,57,102,130,163,208,189,118,53,0,0,0,6,11,5,19,31,17,21,5,57,0 to 99,60,19 to 92,112,587,434,24,1042,3,0,67,934,44,51,27,37,75,14,26,3,1038,115,923,0,7,57,27,42,115,64,50,112,3,0,923,0,1045,923,115,3,58,51,1686613017.08661,308980.48751506,25,1,35,2
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,10516,295,259,973,1910,1820,1697,1585,1149,565,258,5,8,14,83,115,116,129,104,66,31,10,44,0 to 110,45,0 to 93,658,6275,4184,57,10411,105,0,386,9909,221,228,245,203,475,85,116,12,10505,676,9819,10,11,332,269,277,676,334,340,658,18,0,9738,86,10516,9824,676,12,652,328,2746844886.16013,358788.307034344,114,2,198,5
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,1376,18,23,86,173,197,244,252,198,129,55,1,0,2,8,22,22,37,35,37,32,5,52,0 to 100,57,14 to 89,199,826,520,30,1363,13,0,134,1221,21,21,149,30,89,69,42,13,1375,200,1175,0,1,111,51,40,200,90,107,199,1,0,1163,12,1376,1175,200,13,183,103,1945653927.12581,371198.171414394,42,0,30,0
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,1822,23,44,122,246,343,377,306,208,103,42,8,0,0,8,11,19,25,28,26,17,10,48,0 to 99,58,18 to 95,143,1019,713,90,1818,4,0,167,1623,32,56,43,45,76,34,34,8,1814,144,1669,1,8,59,77,77,144,62,81,143,1,0,1666,3,1822,1669,144,8,46,30,1667659896.51059,183856.484298748,34,0,45,0
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,58,2,1,6,11,6,8,12,10,1,1,0,0,0,0,0,1,0,0,2,0,0,48,0 to 89,71,39 to 73,1,34,24,0,55,3,0,3,53,2,1,0,2,1,0,2,0,58,3,55,0,0,2,2,2,3,1,2,1,2,0,54,1,58,55,3,0,0,0,1653184151.65315,165534.73009074,0,2,0,2
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,1892,33,26,148,216,258,307,346,331,161,64,2,0,0,3,11,17,22,19,8,2,1,53,0 to 119,49,19 to 88,80,1148,713,31,1886,6,0,85,1739,68,59,3,21,73,1,9,2,1550,83,1464,3,342,308,626,109,83,35,48,80,3,0,1463,1,1892,1464,83,2,112,82,4305055841.62241,350920.190673371,9,0,19,2
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,2133,44,36,118,296,295,331,394,356,186,73,4,1,0,12,27,23,29,28,47,18,5,53,0 to 101,55,1 to 92,181,1252,860,21,2117,16,0,143,1891,99,109,20,61,126,19,45,6,2127,190,1935,2,6,85,53,118,190,96,94,181,9,0,1929,7,2133,1936,190,6,324,176,3125661534.15881,560414.737839251,41,4,56,5
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,96,3,4,8,10,22,9,13,19,6,1,1,0,0,0,0,0,0,0,1,0,0,45,0 to 86,66,66 to 66,1,55,41,0,96,0,0,7,89,0,0,0,1,0,0,1,0,96,1,95,0,0,7,2,0,1,0,1,1,0,0,95,0,96,95,1,0,0,0,1823798262.39212,235232.973119088,1,0,1,0
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,2585,72,50,180,352,344,414,428,361,295,86,3,0,3,5,9,22,25,29,30,25,1,51,0 to 101,59,11 to 86,142,1486,1065,34,2564,21,0,128,2398,59,49,30,70,88,20,41,3,2571,149,2418,4,14,67,40,133,149,72,77,142,7,0,2408,14,2585,2422,149,3,220,159,2995995460.71371,331014.242454318,39,2,63,7
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,236,5,7,24,33,34,35,35,37,20,6,0,0,0,0,1,1,1,3,0,0,0,50,0 to 118,52,33 to 64,6,152,81,3,236,0,0,20,215,1,3,1,2,4,1,1,0,235,6,229,0,1,9,14,4,6,3,3,6,0,0,229,0,236,229,6,0,7,6,2900663690.96646,339394.964008615,1,0,2,0
